run_id,split,model,model_id,device,dtype,with_metadata,macro_cer,cer_kade_letters,cer_dominy_accounts,cer_survey_notes,human_cer_mean,kade_cer_mean,cer_median,wer_mean,sec_per_page_mean,sec_per_page_p50,sec_per_page_p95,peak_mem_mb,status
smoke-churro-meta,smoke,churro,stanford-oval/churro-3B,cuda,bf16,True,0.33101849875055844,0.1305245401844481,0.4031190549526208,0.45941190111460645,0.1305245401844481,0.1305245401844481,0.150293542074364,0.4723668194661861,12.728,7.3964225999079645,16.159971700049937,7398.58837890625,ok
churro3b-zeroshot,val,churro,stanford-oval/churro-3B,cuda,bf16,False,0.31889629138804293,0.2698475626844513,0.3743398662551166,0.3125014452245609,0.2698475626844513,0.2698475626844513,0.1697792869269949,0.4577208117159426,12.244,6.318189200013876,64.67588380002417,7401.3564453125,ok
churro3b-zeroshot-meta,val,churro,stanford-oval/churro-3B,cuda,bf16,True,0.39381187675844204,0.3135270091605043,0.4442265231488721,0.4236820979659497,0.3135270091605043,0.3135270091605043,0.17985611510791366,0.50047498406254,14.592,6.451520700007677,65.3522420998197,7401.8037109375,ok
smoke-qwen25vl-3b,smoke,qwen2.5-vl-3b,Qwen/Qwen2.5-VL-3B-Instruct,cuda,bf16,False,0.4440949552715247,0.4276336730343321,0.45282918269068384,0.4518220100895581,0.4276336730343321,0.4276336730343321,0.40164782182683484,0.6785020941418485,5.773,5.799490199889988,8.03764560003765,7398.0107421875,ok
qwen25vl-3b-zeroshot,val,qwen2.5-vl-3b,Qwen/Qwen2.5-VL-3B-Instruct,cuda,bf16,False,0.45853388679442003,0.5564129332999251,0.48611978910302434,0.3330689379803107,0.5564129332999251,0.5564129332999251,0.4825174825174825,0.8346876141577546,11.397,7.181577499955893,63.90255680005066,7401.3564453125,ok
smoke-qwen25vl-7b,smoke,qwen2.5-vl-7b,Qwen/Qwen2.5-VL-7B-Instruct,cuda,4bit,False,0.3189585216877909,0.4421176620877337,0.43492249867076993,0.07983540430486889,0.4421176620877337,0.4421176620877337,0.31696128863973594,0.5970077616449553,,,,5680.92822265625,ok
smoke-qwen3vl-8b,smoke,qwen3-vl-8b,Qwen/Qwen3-VL-8B-Instruct,cuda,4bit,False,0.45416253345837854,0.4128663074456327,0.8419753086419753,0.10764598428752781,0.4128663074456327,0.4128663074456327,0.3875542208875542,0.6821895951481464,33.012,14.960915200179443,97.12896379991435,6562.142578125,ok
smoke-olmocr-2-7b,smoke,olmocr-2-7b,allenai/olmOCR-2-7B-1025,cuda,4bit,False,0.30594148277306243,0.43351025003022414,0.39728749821334025,0.0870267000756228,0.43351025003022414,0.43351025003022414,0.25796105383734247,0.5779291990883254,8.162,8.509377799928188,11.653268299996853,6038.4267578125,ok
qwen25vl-7b-zeroshot,val,qwen2.5-vl-7b,Qwen/Qwen2.5-VL-7B-Instruct,cuda,4bit,False,0.34466311055850785,0.5129031053224784,0.40231157484694435,0.11877465150610082,0.5129031053224784,0.5129031053224784,0.4493464052287582,0.7673646652933683,11.787,7.972171700093895,65.36510169995017,6041.31689453125,ok
smoke-deepseek-ocr,smoke,deepseek-ocr,deepseek-ai/DeepSeek-OCR,cuda,bf16,False,0.9288825424721735,1.0,0.9391476274165202,0.8475,1.0,1.0,1.0,0.9729663039985309,43.613,15.314976800000295,64.40860310000426,7757.53369140625,ok
qwen3vl-8b-zeroshot,val,qwen3-vl-8b,Qwen/Qwen3-VL-8B-Instruct,cuda,4bit,False,0.44605418653869267,0.6054577650629047,0.6184682297096713,0.11423656484350193,0.6054577650629047,0.6054577650629047,0.49556213017751477,0.8317150948831472,31.217,14.460549499999615,95.58103979999578,6557.0478515625,ok
olmocr-2-7b-zeroshot,val,olmocr-2-7b,allenai/olmOCR-2-7B-1025,cuda,4bit,False,0.29561157763225204,0.4873166811142657,0.32159690346625663,0.07792114831623391,0.4873166811142657,0.4873166811142657,0.4392220421393841,0.7721032912216415,8.568,7.68611090000195,11.259912800000166,6041.31689453125,ok
smoke-pipeline-trocr,smoke,pipeline-kraken-trocr,dh-unibe/trocr-kurrent+microsoft/trocr-base-handwritten,cuda,fp16,False,0.9055558182741111,0.951641039868633,0.9025470050885411,0.8624794098651591,0.951641039868633,0.951641039868633,0.9091768699236271,0.989479063961439,0.699,0.4529206000006525,2.1550553999986732,,ok
pipeline-kraken-trocr,val,pipeline-kraken-trocr,dh-unibe/trocr-kurrent+microsoft/trocr-base-handwritten,cuda,fp16,False,0.8929956849510897,0.9667937115133048,0.8318517237115769,0.8803416196283874,0.9667937115133048,0.9667937115133048,0.9694244604316546,0.9938294860646589,0.372,0.2644282000037492,0.9104787999967812,,ok
